Mag3,Mag2,Mag1,time,Acc1,Acc3,Acc2
-23.05145263671875,0.6317138671875,-5.91888427734375,2014-08-08 06:50:25 +0200,0.3668212890625,9.534912109375,0.28265380859375
-17.27447509765625,12.2467041015625,-12.7288818359375,2014-08-08 06:50:26 +0200,0.2810211181640625,9.600143432617188,0.4507598876953125
-22.71575927734375,8.1146240234375,-8.66546630859375,2014-08-08 06:50:27 +0200,0.465606689453125,9.530029296875,0.380340576171875
-13.60015869140625,4.58221435546875,-3.204345703125,2014-08-08 06:50:28 +0200,0.2348480224609375,9.5634765625,0.46502685546875
-19.3145751953125,11.71112060546875,-17.87261962890625,2014-08-08 06:50:29 +0200,0.278961181640625,9.403030395507812,0.397247314453125
-19.793701171875,7.9193115234375,-5.9356689453125,2014-08-08 06:50:30 +0200,0.1934661865234375,9.75482177734375,0.4519195556640625
-18.00689697265625,10.10589599609375,-7.77740478515625,2014-08-08 06:50:31 +0200,0.23614501953125,9.738983154296875,0.412689208984375
-17.62847900390625,12.02545166015625,-16.3055419921875,2014-08-08 06:50:32 +0200,0.196746826171875,9.506973266601562,0.434967041015625
-17.2393798828125,13.58184814453125,-12.5823974609375,2014-08-08 06:50:33 +0200,0.2161865234375,9.76202392578125,0.50921630859375
-19.683837890625,3.20587158203125,-6.09130859375,2014-08-08 06:50:34 +0200,0.060546875,9.613845825195312,0.6037750244140625
-14.48211669921875,6.646728515625,-7.23876953125,2014-08-08 06:50:35 +0200,0.1857147216796875,9.597381591796875,0.5198822021484375
-17.37060546875,8.489990234375,-0.18463134765625,2014-08-08 06:50:36 +0200,0.14678955078125,9.801315307617188,0.4811553955078125
-15.21453857421875,1.56097412109375,6.5399169921875,2014-08-08 06:50:37 +0200,0.2271575927734375,9.624801635742188,0.5564727783203125
-15.24505615234375,3.79791259765625,5.18798828125,2014-08-08 06:50:38 +0200,0.1704254150390625,9.615768432617188,0.6148681640625
-8.795166015625,2.68707275390625,13.12103271484375,2014-08-08 06:50:39 +0200,0.3425445556640625,9.549346923828125,0.550201416015625
-12.08343505859375,3.53546142578125,10.0494384765625,2014-08-08 06:50:40 +0200,0.495361328125,9.686203002929688,0.556884765625
-13.13018798828125,0.45928955078125,10.04638671875,2014-08-08 06:50:41 +0200,0.5291595458984375,9.600738525390625,0.5992889404296875
-17.67120361328125,5.438232421875,-1.79901123046875,2014-08-08 06:50:42 +0200,0.7145843505859375,9.593002319335938,0.6997833251953125
-21.875,5.61065673828125,-6.09130859375,2014-08-08 06:50:43 +0200,0.614166259765625,9.406997680664062,0.4100799560546875
